antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.0424906782460943,0.08253882097512626,0.010029735214990324,0.2360455429047487,2.8598123902918715,1.0,0.006522604730124254,1.2009370067861034,0.6791857768653692,0.08721526780217526,0.1673168581288393,0.17878045551241722
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.08253882097512626,0.0424906782460943,0.010029735214990324,0.12151536812008577,2.8598123902918715,1.0,0.006522604730124254,1.089955688473323,0.708832948378765,0.08721526780217526,0.08253150969772179,0.17878045551241722
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.0424906782460943,0.11966064095907868,0.012814461698211167,0.3015828936406554,2.5203182201221046,1.0,0.0077299999044975415,1.2604779450919912,0.6299935607844991,0.08580910240202275,0.2066501410089973,0.2043364621048164
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.11966064095907868,0.0424906782460943,0.012814461698211167,0.10709003056897742,2.5203182201221046,1.0,0.0077299999044975415,1.0723469941365387,0.685218377323572,0.08580910240202275,0.06746602968267094,0.2043364621048164
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.02751687355453816,0.14871147401708595,0.01025392929626658,0.3726415094339623,2.5058020028175383,1.0,0.006161854469629438,1.3569411090855474,0.6179296634056556,0.06178017915541022,0.2630483421097711,0.22079667314910048
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.14871147401708595,0.02751687355453816,0.01025392929626658,0.06895183686423867,2.5058020028175383,1.0,0.006161854469629438,1.0445035659274038,0.705901880092044,0.06178017915541022,0.042607385344720666,0.22079667314910048
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.11966064095907868,0.06631424930381838,0.019351489120687213,0.16171975150379647,2.4386878114668584,1.0,0.011416283544272168,1.1138109866850934,0.6701318159186659,0.11613908363430353,0.1021815981756615,0.22676734906150678
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.06631424930381838,0.11966064095907868,0.019351489120687213,0.2918149466192171,2.4386878114668584,1.0,0.011416283544272168,1.2430922607562758,0.6318436506703556,0.11613908363430353,0.19555448009014448,0.22676734906150678
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.06631424930381838,0.08253882097512626,0.012389672912635107,0.18683274021352314,2.2635741340408377,1.0,0.006916172961247351,1.1282564170940461,0.5978679511436563,0.09079118028534372,0.11367665643275061,0.16846997982799103
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.08253882097512626,0.06631424930381838,0.012389672912635107,0.15010721944245892,2.2635741340408377,1.0,0.006916172961247351,1.0985924013658184,0.608440770621008,0.09079118028534372,0.08974429573993413,0.16846997982799103
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.14871147401708595,0.030466795676594136,0.010218530230801907,0.06871379830199159,2.2553667616178092,1.0,0.005687768137158211,1.0410690103167661,0.6538478049002225,0.06047908373489769,0.03944888370490451,0.20205635693565885
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.030466795676594136,0.14871147401708595,0.010218530230801907,0.3353989155693261,2.2553667616178092,1.0,0.005687768137158211,1.2809015000512145,0.5741042509617915,0.06047908373489769,0.21929984471091896,0.20205635693565885
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.07522301411242743,0.06631424930381838,0.010348326804172369,0.1375686274509804,2.0744957365152468,1.0,0.005359969092936208,1.0826203457053762,0.5600865411014874,0.0788810937218924,0.076315160742287,0.14680922475751867
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.06631424930381838,0.07522301411242743,0.010348326804172369,0.15604982206405693,2.0744957365152463,1.0,0.005359969092936208,1.0957720136386586,0.5547424740388593,0.0788810937218924,0.0874014050793602,0.14680922475751867
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.14871147401708595,0.05400717421060084,0.016484164818048805,0.11084662381972547,2.0524425771190944,1.0,0.008452678333692804,1.0639253599343028,0.6023523571817336,0.08851295697902807,0.06008444045196012,0.2080341923992663
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.05400717421060084,0.14871147401708595,0.016484164818048805,0.3052217609788071,2.052442577119094,1.0,0.008452678333692804,1.225266535667861,0.5420502526958149,0.08851295697902807,0.18385104718874412,0.2080341923992663
frozenset({'Strawberries'}),frozenset({'Banana'}),0.04410723556898098,0.14871147401708595,0.012743663567281825,0.28892455858747995,1.9428531691796993,1.0,0.0061844115509998195,1.1971845410549786,0.5076856766654322,0.07076862590918026,0.16470688878192183,0.1873092204982151
frozenset({'Banana'}),frozenset({'Strawberries'}),0.14871147401708595,0.04410723556898098,0.012743663567281825,0.08569388240895025,1.942853169179699,1.0,0.0061844115509998195,1.0454843799465532,0.5700688428396515,0.07076862590918026,0.04350555667687588,0.1873092204982151
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.08253882097512626,0.11966064095907868,0.0189502997120876,0.2295925661186562,1.9186974453627725,1.0,0.009073651490197347,1.1426932300039423,0.5218892059744257,0.10341274951706374,0.12487448622011173,0.19397979553344308
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.11966064095907868,0.08253882097512626,0.0189502997120876,0.15836702494822996,1.9186974453627723,1.0,0.009073651490197347,1.0900965221430867,0.5438960343148702,0.10341274951706374,0.08265004090276379,0.19397979553344308
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.08253882097512626,0.07522301411242743,0.011846887242176807,0.1435310936383131,1.9080742154760404,1.0,0.005638068347141763,1.0797554692511384,0.518726439527602,0.08119036066634319,0.0738643808921409,0.15051064485837223
